Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,112479.000000,112479.000000,110548.000000,110926.000000,110926.000000,15193700
2022-12-02,110926.000000,113761.000000,109963.000000,112056.000000,112056.000000,15982000
2022-12-05,111922.000000,112150.000000,109270.000000,109401.000000,109401.000000,12308400
2022-12-06,109403.000000,110663.000000,109217.000000,109533.000000,109533.000000,13437500
2022-12-07,110188.000000,110247.000000,108612.000000,109361.000000,109361.000000,13825300
2022-12-08,109068.000000,109286.000000,106906.000000,107245.000000,107245.000000,14921000
2022-12-09,107250.000000,108566.000000,107089.000000,107689.000000,107689.000000,10676300
2022-12-12,107518.000000,107561.000000,103877.000000,105264.000000,105264.000000,15481900
2022-12-13,105345.000000,106689.000000,103409.000000,103892.000000,103892.000000,17702200
2022-12-14,103536.000000,104516.000000,101632.000000,103803.000000,103803.000000,24923500
2022-12-15,103739.000000,105483.000000,103014.000000,103738.000000,103738.000000,15568200
2022-12-16,103737.000000,104018.000000,102248.000000,102825.000000,102825.000000,18255000
